Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency
22,4096,1,2,512,0.259914,0.508864, N/A,0.0175567,0.0173892,2.08606,0.0441903,2,2,1,1,2,2,11.4475,2,2,1,1,2,1,48.2817
22,8192,1,2,512,0.265224,0.52733, N/A,0.0177158,0.0191154,3.51694,0.0492305,2,2,1,2,2,1,20.5236,2,2,1,1,2,1,58.7127
22,16384,1,2,512,0.282641,0.550432, N/A,0.0190111,0.021862,6.41407,0.0640964,2,2,1,2,2,1,33.5787,2,2,2,1,4,1,61.2182
22,32768,1,2,512,0.331296,0.587603, N/A,0.0212829,0.0275326,12.2087,0.0870169,2,2,1,2,2,1,49.2958,2,2,2,1,4,1,69.2101
22,65536,1,2,512,0.416919,0.650556, N/A,0.0258494,0.0388801,23.7556,0.13269,2,2,1,2,2,1,64.4078,2,2,2,1,4,1,74.0157
22,131072,1,2,512,0.559165,0.650556, N/A,0.0397699,0.0521804,47.2294,0.357998,2,4,1,2,2,1,51.2482,2,4,4,1,8,1,66.4963
22,262144,1,2,512,0.842986,0.783857, N/A,0.0585507,0.0829916,92.4224,0.69108,2,4,1,2,2,1,60.5792,2,4,8,1,16,1,72.2496
22,524288,1,2,512,1.13845,0.783857, N/A,0.0952181,0.119975,184.519,1.17245,4,4,2,2,2,1,62.1854,2,8,8,1,16,1,70.7346
22,1048576,1,2,512,1.52757,0.783857, N/A,0.146427,0.17176,368.403,2.45919,4,8,2,2,2,1,58.0885,2,16,8,1,16,1,69.308
22,2097152,1,2,512,2.16911,2.11621, N/A,0.20951,0.218397,709.602,4.39384,4,8,4,4,2,1,65.7782,4,16,16,1,4,4,69.6466
22,4194304,1,2,512,2.79022,2.11621, N/A,0.330289,0.347943,1409.36,8.06747,4,16,4,8,2,1,71.0181,4,32,16,1,32,1,68.5311
22,8388608,1,2,512,3.99305,1.09203, N/A,0.429733,0.484165,2927.09,16.5632,16,8,8,2,2,1,70.0563,16,16,32,1,16,1,70.8883
22,16777216,1,2,512,5.28819,2.42809, N/A,0.611207,0.632938,5639.76,30.4384,8,16,8,4,2,1,75.8357,16,32,32,1,16,1,70.5608
22,33554432,1,2,512,7.372,2.42809, N/A,0.867508,0.89101,11255,58.9424,16,16,16,4,2,1,78.3112,32,32,64,1,16,1,69.8598
